Site,Long,Lat,TP mg/kg,TN%,TC%,TN g/kg,TC g/kg,LOI %,Depth (m),sSRP,bSRP,sNOx,bNOx,sNH3,bNH3,sTemp,sCond,sSPC,sTDS,sSal,sDO (% sat),sDO (mg/L),sPressure,spH,sORP,sTurb (FNU),sChlor (RFU),sChlor (ug/L),sBGA-PC (RFU),sBGA-PC (ug/L),sBaro (mmHg),bTemp,bCond uS/cm,bSPC,bTDS,bSal,bDO (% sat),bDO (mg/L),bPressure,bpH,bORP,bTurb (FNU),bChlor (RFU),bChlor (ug/L),bBGA-PC (RFU),bBGA-PC (_g/L),bBaro (mmHg)
28,38.696167,-89.297861,923.5309549,0.2131,1.736,2.131,17.36,9.050367261,2.8302,0,0,0,0,0.0048,0.0036,22.011,376.3,399.1,259,0.19,138.5,12.1,14.649,10.14,111.4,9.46,6.44,25.88,2.24,2.34,754.1,21.401,373.6,399.6,260,0.19,127.5,11.22,14.574,10.1,118.5,55.72,7.96,31.94,2.75,2.77,754
29,38.691306,-89.268806,680.1250326,0.0649,0.6689,0.649,6.689,4.584527221,3.3302,0,0.01,0,0.03,0.0154,0.0217,21.284,362.4,390.1,254,0.19,155,13.72,14.659,10.35,106,14.01,8.09,32.48,3.13,3.45,754.9,20.408,359.1,393.6,250,0.19,114.2,10.29,14.604,10.08,97.9,45.67,5.75,23.13,3.46,2.53,754.8
30,38.691861,-89.248278,909.3879976,0.2157,1.8029,2.157,18.029,10.39809863,3.3302,0.008,0.003,0.042,0,0.024,0.0074,21.684,362.6,387.3,252,0.19,156,13.7,14.574,10.32,92.6,20.29,8.09,32.47,3.07,2.85,755,20.893,355.1,385.4,250,0.18,126.9,11.32,14.607,10.16,110,14.59,6.74,27.24,2.69,2.54,754.9
31,38.696333,-89.251528,670.2488688,0.2288,1.8555,2.288,18.555,3.71040724,3.3302,0.009,0.012,0.019,0.014,0.0254,0.0185,21.455,362.3,388.6,253,0.19,151.8,13.4,14.639,10.29,106.4,12.27,6.73,27.02,2.27,2.34,755.2,20.663,361.4,394.4,256,0.19,113.7,10.211,14.617,10.03,102.2,160.04,7.62,30.6,3.1,3.17,755.1
32,38.698833,-89.228889,787.3349835,0.1564,1.8798,1.564,18.798,5.610561056,2.3302,0.003,0.01,0,0,0.0215,0.0066,21.514,354.9,379.9,247,0.18,140,12.34,14.63,10.28,106,11.65,9.1,36.53,3.21,3.1,755.4,21.242,354.6,382.6,248,0.18,118.4,10.55,14.695,10.16,99.1,86.81,10.85,42.64,3.79,2.86,755.2
33,38.701278,-89.2345,838.2183908,0.1764,1.5238,1.764,15.238,8.936781609,2.8302,0.002,0.008,0,0,0.0107,0.0043,22.015,355.2,376.4,245,0.18,154.6,13.4,14.598,10.31,100.4,15.64,8.41,33.75,3.06,3.14,755.3,21.07,353.5,382.2,248,0.18,121.4,10.79,14.603,10.14,108.8,33.49,8.59,34.46,3.26,3.08,755.2
34,38.702583,-89.27725,1230.012453,0.257,2.1713,2.57,21.713,9.887920299,3.3302,0,0.003,0,0,0.0191,0.0221,22.352,369.2,389.6,253,0.19,142.4,12.35,14.634,10,111.3,10.41,7.02,28.28,2.74,2.87,754.2,22.056,376.3,298.8,259,0.19,110.4,9.63,14.678,10.01,108.8,46.69,8.72,35.01,3.18,3.26,754.3
35,38.707417,-89.274806,1079.697747,0.2253,1.8216,2.253,18.216,7.698887938,4.3302,0,0,0,0.001,0.0177,0.0167,22.781,382.3,399.2,260,0.19,146.5,12.6,14.608,10.22,102.3,11.7,8.12,32.6,2.58,2.68,754.1,22.26,373,409.1,266,0.2,111.2,9.77,14.575,10.11,121.5,31.38,9.86,39.56,2.92,3.14,754.3
36,38.708722,-89.289639,880.2306425,0.1392,1.1149,1.392,11.149,5.963756178,2.3302,0,0,0,0,0.0122,0.0165,21.85,376.8,400.9,261,0.19,140,12.26,14.636,10.17,113.3,10.84,7.56,30.37,2.67,2.75,754.2,22.019,378.3,401.1,261,0.19,131.4,11.47,14.587,10.15,109.4,50.64,9.55,37.67,3.01,3.08,754.4
37,38.713833,-89.266833,845.6334563,0.2281,1.6366,2.281,16.366,8.271832718,3.3302,0,0.002,0.006,0.001,0.0193,0.011,22.269,415.7,438.6,285,0.21,141.6,12.56,14.568,10.13,105.1,12.53,12.59,50.48,3.56,3.64,754.6,21.323,366.1,394.5,256,0.19,110.4,9.77,14.568,10.05,121.5,22.51,8.31,35.45,2.69,2.16,754.6
61,38.641694,-89.341611,700.0792393,0,0.1692,0,1.692,3.803486529,2.3302,0.022,0.019,0.144,0.091,0.0675,0.0323,19.94,357.3,395.5,257,0.19,125.4,11.4,14.469,8.95,192.5,13.3,7.6,29.14,2.13,2.2,752.8,20.5,385.3,393.3,256,0.19,118.4,10.76,14.566,8.95,201,14.86,8.33,33.45,2.2,2.28,752.8
62,38.6465,-89.265417,748.9361702,0.0753,0.9333,0.753,9.333,5.368248773,2.3302,0.023,0.034,0.071,0.102,0.0146,0.0332,19.229,352.6,395.4,257,0.19,122.2,11.25,14.615,9.77,159.7,12.55,5.43,21.85,1.88,1.95,755.5,18.963,350.8,396.4,258,0.19,97.6,9.05,14.686,9.6,127.6,1028.5,10.36,41.55,4.73,4.81,755.5
63,38.740722,-89.266778,NA,NA,NA,NA,NA,NA,NA,0.012,0.026,0,0,0.0176,0.0399,27.658,468.6,472.7,307,0.23,158.6,13.16,14.554,9.23,171,17.82,13.51,49.73,3.08,3.15,753.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,38.617444,-89.355028,NA,NA,NA,NA,NA,NA,NA,0.125,,0.388,NA,0.4209,NA,19.041,372,419.8,273,0.2,76,6.75,19.531,8.33,227.8,15.38,1.13,4.78,0.24,0.33,753.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,38.71775,-89.225083,166.0516605,0.0183,0.045,0.183,0.45,1.691266913,6.3302,0.052,0.05,0.018,0,0,0,28.039,424.1,400.8,261,0.19,130.6,10.2,14.984,9.2,157.6,14.92,3.72,14.98,1.11,1.19,752.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,38.741361,-89.193194,494.2810458,0.0355,0.9163,0.355,9.163,4.346405229,NA,0.018,0.018,0,0,0,0,28.299,864.8,813.9,529,0.4,126.3,9.81,14.52,8.45,198.7,12.29,1.59,6.46,0,0,751.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,38.766722,-89.215222,138.3955909,0.0187,0.2747,0.187,2.747,1.775872627,NA,0.085,0.082,0,0,0,0,30.062,590.4,538.3,350,0.26,112.2,8.46,14.55,9.07,164.6,21.07,3.51,14.13,0.83,1,751.7,29.638,610.9,561.1,365,0.27,125.9,9.56,14.553,8.96,163.4,25.08,4.42,17.79,0.81,0.88,751.8
68,38.769833,-89.256944,1135.276777,0.168,2.7569,1.68,27.569,8.352440223,NA,0.045,NA,0.897,NA,0.1379,NA,29.547,694.8,641.6,417,0.31,134.9,10.3,14.77,8.18,186.3,23.06,1.01,4.13,0,0,751.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,38.746833,-89.270278,NA,NA,NA,NA,NA,NA,NA,0.036,NA,0.007,NA,0.0385,NA,27.791,529.1,502.3,327,0.24,183.6,14.4,14.484,9.26,137.3,43.74,12.59,50.49,2.77,2.91,750.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,38.719333,-89.249778,987.3125721,0.23,1.7613,2.3,17.613,9.548525292,3.3302,0.115,0.117,0.651,0.648,0.0175,0.0541,26.2,NA,409.3,NA,NA,98.7,7.99,NA,8.46,NA,57,10,23.54,NA,NA,746.6,26,NA,408.2,NA,NA,73.7,5.88,NA,8.36,NA,71,10,24.53,NA,NA,746.6
39,38.724444,-89.256028,1202.995255,0.7453,2.0674,7.453,20.674,10.70581257,2.8302,0.112,0.111,1.13,1.144,0.0714,0.1223,26.1,NA,404.1,NA,NA,91.5,7.41,NA,8.31,NA,82,10.3,22.79,NA,NA,746.6,25.3,NA,402.1,NA,NA,62.8,5.11,NA,8.14,NA,85,9.3,25.71,NA,NA,746.6
43,38.726556,-89.246583,1313.197026,1.0237,1.7543,10.237,17.543,13.42007435,1.8302,0.113,0.143,0.156,0.902,0.0242,0.1962,25.4,NA,353.7,NA,NA,82,6.65,NA,8.3,NA,169,71.5,21.2,NA,NA,746.6,23.7,NA,201.1,NA,NA,32.2,2.7,NA,7.66,NA,365,9.3,15.35,NA,NA,746.6
44,38.723389,-89.231361,574.9364945,0.8214,0.2593,8.214,2.593,4.9957663,2.3302,0.137,0.517,0.89,1.042,0.0621,0.1487,24.7,NA,178.9,NA,NA,71,5.84,NA,7.58,NA,280,11.6,13.46,NA,NA,746.7,22.3,NA,130,NA,NA,40.5,4,NA,7.25,NA,374,8.7,9.19,NA,NA,746.7
45,38.737917,-89.227306,383.9779006,1.1656,0.1158,11.656,1.158,3.354380426,1.8302,0.112,0.113,1,1.005,0.108,0.1303,24.7,NA,125.1,NA,NA,52.2,4.36,NA,6.85,NA,279,9,6.78,NA,NA,746.8,22.3,NA,125.8,NA,NA,47.2,4.08,NA,6.88,NA,390,9,7.94,NA,NA,746.8
46,38.743722,-89.263222,1026.424443,0.2028,1.6974,2.028,16.974,9.496284063,2.3302,0.082,0.088,2.933,2.929,0.0795,0.1092,24.8,NA,402.5,NA,NA,66,5.5,NA,7.76,NA,180,9.2,24.59,NA,NA,746.6,24.7,NA,397.1,NA,NA,49.7,3.91,NA,7.75,NA,166,7.1,29.08,NA,NA,746.6
47,38.746944,-89.267333,995.6183057,0.2132,1.8212,2.132,18.212,9.315157416,1.3302,0.112,0.117,2.258,2.222,0.0764,0.105,23.9,NA,304.6,NA,NA,57.4,4.85,NA,7.65,NA,208,10.4,21.86,NA,NA,746.6,24.1,NA,298.4,NA,NA,48.6,3.92,NA,7.56,NA,310,8.7,21.86,NA,NA,740.5
48,38.750667,-89.25025,895.1059385,0.1612,1.6113,1.612,16.113,8.236347359,2.0302,0.079,0.092,2.394,1.877,0.0431,0.1,26.3,NA,316.3,NA,NA,73.2,5.88,NA,7.74,NA,253,15.5,17.99,NA,NA,746.2,24.2,NA,257,NA,NA,45.7,3.82,NA,7.66,NA,402,12.1,16.21,NA,NA,746.2
49,38.746444,-89.236278,1307.613868,0.0676,0.7736,0.676,7.736,5.642420122,1.8302,0.121,0.156,2.66,1.154,0.0995,0.09,25.9,NA,323.7,NA,NA,73.3,5.96,NA,7.68,NA,151,6.1,18.58,NA,NA,746.7,23.1,NA,165.9,NA,NA,47,3.96,NA,7.45,NA,376,8.8,12.29,NA,NA,746.8
50,38.753583,-89.236556,929.7035515,0.158,1.4927,1.58,14.927,7.631347226,1.8302,0.086,0.083,2.465,2.012,0.0393,0.09,25.4,NA,403.7,NA,NA,82.6,6.77,NA,8.04,NA,116,9.9,21.21,NA,NA,746.8,23.7,NA,319.5,NA,NA,48,3.79,NA,7.8,NA,390,10.2,19.83,NA,NA,746.8
51,38.760833,-89.243778,505.0541516,0.0408,0.7944,0.408,7.944,6.823104693,1.3302,0.089,0.096,1.785,1.629,0.0391,0.0758,26.5,NA,211.8,NA,NA,63.2,5.09,NA,7.41,NA,407,16.2,12.7,NA,NA,746.2,23.7,NA,196.9,NA,NA,42.5,3.57,NA,7.37,NA,864,9.9,12.64,NA,NA,746.2
52,38.758611,-89.253528,763.6758321,0.1164,1.2896,1.164,12.896,7.496382055,1.8302,0.097,0.099,1.372,1.503,0.0565,0.0891,26.7,NA,171.2,NA,NA,60.2,4.81,NA,7.26,NA,469,11.2,10.77,NA,NA,746.2,23.1,NA,178.1,NA,NA,42.2,3.63,NA,7.27,NA,591,9.3,12.56,NA,NA,746.2
53,38.769694,-89.255444,1595.973294,0.0929,1.4773,0.929,14.773,7.051950762,1.3302,0.095,0.094,1.244,1.355,0.0345,0.0812,26.2,NA,188.2,NA,NA,66.6,5.35,NA,7.33,NA,420,12,10.39,NA,NA,746.5,24,NA,192.7,NA,NA,45,3.68,NA,7.29,NA,533,11.5,12.48,NA,NA,746.5
54,38.772361,-89.257611,836.8681513,0.1759,1.7708,1.759,17.708,8.518911276,0.8302,0.126,0.129,1.432,1.481,0.1026,0.1155,25.1,NA,207.9,NA,NA,49,4.02,NA,7.13,NA,301,9.3,13.02,NA,NA,746.5,25.3,NA,208.6,NA,NA,44.4,3.62,NA,7.15,NA,554,8.5,14,NA,NA,746.5
